Designator,Mid X,Mid Y,Rotation,Layer
C1,65.0675,-74.84,180.0,top
C10,82.0175,-66.5025,90.0,top
C11,77.0175,-66.5275,90.0,top
C12,71.0175,-66.5775,90.0,top
C13,93.8075,-80.4,0.0,top
C14,51.5,-90.05,90.0,top
C15,53.75,-87.7,180.0,top
C16,63.8,-90.6675,270.0,top
C17,62.25,-90.6675,270.0,top
C18,144.24,-50.6075,0.0,top
C19,125.14,-67.9575,180.0,top
C2,64.6175,-79.74,180.0,top
C20,125.14,-52.775,180.0,top
C21,110.24,-52.4075,180.0,top
C22,110.24,-50.9075,180.0,top
C23,114.34,-56.8575,90.0,top
C24,113.4525,-63.6575,0.0,top
C25,114.232108,-65.569527,0.0,top
C26,107.39,-54.7625,90.0,top
C27,105.86,-54.7575,90.0,top
C28,102.59,-59.7,180.0,top
C29,76.4475,-51.1875,270.0,top
C3,64.9175,-86.7,180.0,top
C30,82.2875,-48.55,0.0,top
C31,82.3,-50.5,180.0,top
C32,82.2875,-47.0,180.0,top
C33,96.6,-50.7625,90.0,top
C34,91.1875,-50.6,270.0,top
C35,87.8,-95.4525,270.0,top
C36,93.935722,-73.577888,0.0,top
C37,69.225,-55.0,90.0,top
C38,141.4425,-85.3,0.0,top
C39,142.85,-72.865,180.0,top
C4,69.2,-93.7,180.0,top
C40,127.7525,-128.865,180.0,top
C41,127.7575,-130.375,180.0,top
C42,127.7525,-127.355,180.0,top
C43,127.7525,-125.855,180.0,top
C44,61.7975,-126.91,180.0,top
C45,145.935,-99.292004,180.0,top
C46,61.7975,-131.41,180.0,top
C47,61.7975,-129.91,180.0,top
C48,61.7975,-128.41,180.0,top
C49,61.2675,-82.44,270.0,top
C5,78.0175,-95.04,270.0,top
C50,62.3175,-82.44,270.0,top
C51,58.02,-108.355,90.0,top
C6,83.0175,-95.2525,270.0,top
C7,89.0175,-95.4525,270.0,top
C8,93.63,-84.34,0.0,top
C9,93.93,-72.09,0.0,top
D1,116.74,-52.8575,180.0,top
D10,40.61,-99.5425,90.0,top
D11,44.76,-97.4425,90.0,top
D12,37.101219,-106.434684,90.0,top
D13,38.973719,-104.954684,180.0,top
D14,42.701219,-105.654684,180.0,top
D15,44.351219,-107.584684,90.0,top
D16,42.473719,-109.054684,180.0,top
D17,38.823719,-108.354684,180.0,top
D18,40.651219,-106.982184,90.0,top
D19,44.76,-104.8425,90.0,top
D2,116.74,-51.2575,180.0,top
D20,37.16,-113.7475,90.0,top
D21,38.9325,-112.27,180.0,top
D22,42.6825,-112.87,180.0,top
D23,44.36,-114.9975,90.0,top
D24,42.4325,-116.22,180.0,top
D25,38.8325,-115.57,180.0,top
D26,40.66,-114.1975,90.0,top
D27,44.81,-112.0425,90.0,top
D28,37.16,-121.3975,90.0,top
D29,38.96,-119.92,180.0,top
D30,42.71,-120.57,180.0,top
D31,44.36,-122.6475,90.0,top
D32,42.5825,-123.92,180.0,top
D33,38.8325,-123.32,180.0,top
D34,40.66,-121.8975,90.0,top
D35,44.81,-119.7475,90.0,top
D4,36.96,-99.0925,90.0,top
D5,38.76,-97.5925,180.0,top
D6,42.56,-98.2425,180.0,top
D7,44.26,-100.2925,90.0,top
D8,42.46,-101.5425,180.0,top
D9,38.81,-100.9925,180.0,top
FB1,61.35,-88.125,0.0,top
FB2,112.59,-68.4615,270.0,top
IC1,54.2,-90.5,270.0,top
J1,155.695,-60.6055,270.0,top
J10,67.74,-136.9075,270.0,top
J12,39.6,-73.79,270.0,top
J13,37.4,-56.8,90.0,top
J2,160.25,-102.7,270.0,top
J3,91.1375,-59.7,0.0,top
J4,97.3375,-44.4,0.0,top
J5,65.525,-45.7,0.0,top
J6,119.6,-136.91,270.0,top
J7,157.675,-90.58,90.0,top
J8,134.09,-115.43,270.0,top
J9,157.69,-78.41,90.0,top
L1,81.8,-54.9,0.0,top
Q1,58.925,-59.7,270.0,top
Q2,51.7,-51.0,90.0,top
R1,53.7125,-85.2,0.0,top
R10,121.8025,-52.775,0.0,top
R11,121.815,-51.25,0.0,top
R12,65.1,-91.225,270.0,top
R13,107.89,-65.925,90.0,top
R14,103.33,-65.9,0.0,top
R15,103.3025,-62.425,0.0,top
R16,103.3025,-60.925,0.0,top
R17,120.2775,-64.8575,0.0,top
R18,120.2275,-62.3075,0.0,top
R19,120.2525,-58.5075,0.0,top
R2,52.8,-82.7,90.0,top
R20,120.2525,-55.9575,0.0,top
R21,103.2775,-55.425,0.0,top
R22,103.2775,-58.425,0.0,top
R23,103.265,-56.925,180.0,top
R24,103.265,-53.925,180.0,top
R25,103.29,-63.925,180.0,top
R26,76.4375,-46.9,90.0,top
R27,76.263026,-58.448569,0.0,top
R28,76.263026,-60.958569,0.0,top
R29,47.0,-58.4,90.0,top
R3,66.7675,-64.9525,90.0,top
R30,47.0,-54.4,90.0,top
R31,63.925,-52.3875,270.0,top
R32,63.925,-55.75,270.0,top
R33,140.9625,-113.935,180.0,top
R34,58.66,-114.7825,270.0,top
R35,60.2,-114.7825,270.0,top
R36,138.3375,-99.7,0.0,top
R37,138.35,-103.875,0.0,top
